external_id,name,date_of_birth,outcome_datetime,age_outcome_days,animal_type,outcome_type,outcome_subtype,sex,is_intact,breed,color
A713002,,2015-09-30,2015-10-01 13:38:00,1.0,Cat,Stray,Normal,Unknown,,Domestic Shorthair Mix,Orange Tabby
A713007,*Anthony,2015-09-01,2015-10-01 14:06:00,30.0,Cat,Owner Surrender,Normal,Male,True,Domestic Shorthair Mix,Black/White
A713006,*Charlene,2015-09-01,2015-10-01 14:06:00,30.0,Cat,Owner Surrender,Normal,Female,True,Domestic Shorthair Mix,Black/White
A713004,*Dutchess,2015-09-01,2015-10-01 14:06:00,30.0,Cat,Owner Surrender,Normal,Female,True,Domestic Shorthair Mix,Blue/White
A713003,*Meredith,2015-09-01,2015-10-01 14:06:00,30.0,Cat,Owner Surrender,Normal,Female,True,Siamese Mix,Calico Point
A713005,*Suzanne,2015-09-01,2015-10-01 14:06:00,30.0,Cat,Owner Surrender,Normal,Female,True,Domestic Shorthair Mix,Black/White
A713008,Leo,2013-10-01,2015-10-01 14:24:00,730.0,Dog,Stray,Injured,Male,True,West Highland Mix,White
A713019,*Tywin,2015-09-03,2015-10-01 14:45:00,28.0,Cat,Stray,Normal,Male,True,Domestic Shorthair Mix,Black/White
A713017,*Jaime,2015-09-03,2015-10-01 14:45:00,28.0,Cat,Stray,Normal,Male,True,Domestic Shorthair Mix,Blue
A713018,Gonzo,2015-09-03,2015-10-01 14:45:00,28.0,Cat,Stray,Normal,Male,False,Domestic Shorthair Mix,Black/White
A713015,*Cersei,2015-09-03,2015-10-01 14:45:00,28.0,Cat,Stray,Normal,Female,True,Siamese Mix,Seal Point
A419723,Mysterio,2004-10-03,2015-10-01 14:47:00,4015.0,Dog,Stray,Normal,Male,False,Pit Bull,Tan/White
A713010,,2015-09-17,2015-10-01 14:48:00,14.0,Cat,Stray,Normal,Female,True,Domestic Shorthair Mix,Brown Tabby/White
A713011,,2015-09-17,2015-10-01 14:48:00,14.0,Cat,Stray,Normal,Male,True,Domestic Shorthair Mix,Brown Tabby/White
A713012,,2015-02-03,2015-10-01 14:55:00,240.0,Dog,Stray,Normal,Female,True,Chihuahua Shorthair/Dachshund,Buff
A713013,Guero,2015-02-03,2015-10-01 14:55:00,240.0,Dog,Stray,Normal,Male,True,Chihuahua Shorthair/Dachshund,Buff
A694055,Stella,2009-10-02,2015-10-01 15:04:00,2190.0,Cat,Owner Surrender,Normal,Female,False,Domestic Shorthair Mix,Black
A710350,Oso,2015-07-03,2015-10-01 15:06:00,90.0,Dog,Owner Surrender,Normal,Male,False,Border Collie Mix,Black
A625940,,2007-10-03,2015-10-01 15:23:00,2920.0,Cat,Stray,Normal,Male,False,Domestic Shorthair Mix,Black
A713014,*Cheryl,2014-10-01,2015-10-01 15:29:00,365.0,Cat,Stray,Sick,Female,True,Domestic Shorthair Mix,Orange Tabby
A713016,*Loquat,2015-04-04,2015-10-01 15:29:00,180.0,Cat,Stray,Sick,Female,True,Domestic Shorthair Mix,Cream Tabby
A713020,,2015-07-03,2015-10-01 15:59:00,90.0,Cat,Stray,Normal,Female,True,Domestic Shorthair Mix,Brown Tabby
A713021,,2015-07-03,2015-10-01 15:59:00,90.0,Cat,Stray,Normal,Female,True,Domestic Shorthair Mix,Black
A713022,,2015-07-03,2015-10-01 16:06:00,90.0,Dog,Stray,Normal,Male,True,Irish Terrier Mix,Red
A713028,*Wilbert,2015-09-01,2015-10-01 17:49:00,30.0,Cat,Owner Surrender,Normal,Male,True,Domestic Shorthair Mix,Blue Tabby
A713029,*Wilma,2015-09-01,2015-10-01 17:49:00,30.0,Cat,Owner Surrender,Normal,Female,True,Domestic Shorthair Mix,Black
A713030,*Wanda,2015-09-01,2015-10-01 17:49:00,30.0,Cat,Owner Surrender,Normal,Female,True,Domestic Shorthair Mix,Black
A713031,*Wendy,2015-09-01,2015-10-01 17:49:00,30.0,Cat,Owner Surrender,Normal,Female,True,Domestic Shorthair Mix,Black
A713032,*Sven,2015-01-04,2015-10-01 17:59:00,270.0,Dog,Stray,Normal,Male,True,Catahoula Mix,Red/White
A713033,Tank,2014-10-01,2015-10-01 18:08:00,365.0,Dog,Stray,Normal,Male,True,Labrador Retriever/Pit Bull,Blue/White
A515347,Snowball,2001-10-04,2015-10-01 18:14:00,5110.0,Dog,Public Assist,Normal,Male,False,Pekingese Mix,White
A713034,*Wiley,2012-10-01,2015-10-01 18:53:00,1095.0,Dog,Stray,Normal,Male,True,Chihuahua Shorthair/Dachshund,Tan/White
A713035,*Jen Parker,2013-10-01,2015-10-01 19:05:00,730.0,Cat,Stray,Normal,Female,False,Domestic Shorthair Mix,Black
A713036,*Gordon,2015-04-04,2015-10-01 19:12:00,180.0,Cat,Stray,Normal,Male,True,Domestic Shorthair Mix,Blue Tabby
A713037,,2015-09-03,2015-10-01 19:42:00,28.0,Other,Wildlife,Normal,Unknown,,Bat,Black/Brown
A713038,,2015-09-03,2015-10-01 19:44:00,28.0,Other,Wildlife,Normal,Unknown,,Bat,Black/Brown
A713039,,2014-10-02,2015-10-02 01:23:00,365.0,Bird,Stray,Injured,Unknown,,Parrot,Green/Yellow
A713040,Max,2015-06-04,2015-10-02 01:51:00,120.0,Dog,Stray,Normal,Male,True,Pit Bull Mix,Tan
A713041,,2014-10-02,2015-10-02 07:42:00,365.0,Dog,Stray,Normal,Female,True,Labrador Retriever Mix,White
A713043,*Tinkerbelle,2012-10-02,2015-10-02 10:19:00,1095.0,Dog,Stray,Injured,Female,True,Chihuahua Longhair Mix,White/Black
A713048,,2015-09-25,2015-10-02 11:06:00,7.0,Cat,Stray,Normal,Unknown,,Domestic Shorthair Mix,White
A713049,,2015-09-25,2015-10-02 11:06:00,7.0,Cat,Stray,Normal,Unknown,,Domestic Shorthair Mix,White
A713050,,2015-09-25,2015-10-02 11:06:00,7.0,Cat,Stray,Normal,Unknown,,Domestic Shorthair Mix,Brown Tabby
